Parameter;Value
pipe.Length;1
pipe4.Length;1
pipe5.Length;1
pipe1.Length;1
pipe2.Length;1
pipe6.Length;1
pipe7.Length;1
pipe8.Length;1
pipe.Diameter;0.25
pipe4.Diameter;0.25
pipe5.Diameter;0.25
pipe1.Diameter;0.25
pipe2.Diameter;0.25
pipe6.Diameter;0.25
pipe7.Diameter;0.25
pipe3.Diameter;0.25
tank.Diameter;1
tank1.Diameter;1
tank2.Diameter;1
tank.Height;1
tank1.Height;1
tank2.Height;1
pump.N_Nominal;1200
pump1.N_Nominal;1200
valveLinear1.Flow_Nominal;40
valveLinear2.Flow_Nominal;40
valveLinear3.Flow_Nominal;40
valveLinear1.dp_nominal;10000
valveLinear2.dp_nominal;10000
valveLinear3.dp_nominal;10000
pump.V;1
pump1.V;1
